STUDY_ID	SAMPLE_ID	CDK1
gbm_tcga_pan_can_atlas_2018	TCGA-28-5220-01	-0.8495
gbm_tcga_pan_can_atlas_2018	TCGA-32-1970-01	-1.1036
gbm_tcga_pan_can_atlas_2018	TCGA-32-1980-01	-1.3751
gbm_tcga_pan_can_atlas_2018	TCGA-32-1982-01	-1.1432
gbm_tcga_pan_can_atlas_2018	TCGA-32-2615-01	-1.1579
gbm_tcga_pan_can_atlas_2018	TCGA-32-2616-01	-0.1114
gbm_tcga_pan_can_atlas_2018	TCGA-32-2632-01	-1.0123
gbm_tcga_pan_can_atlas_2018	TCGA-32-2634-01	-0.8253
gbm_tcga_pan_can_atlas_2018	TCGA-32-2638-01	-1.1991
gbm_tcga_pan_can_atlas_2018	TCGA-32-4213-01	-0.7862
gbm_tcga_pan_can_atlas_2018	TCGA-32-5222-01	-0.6601
gbm_tcga_pan_can_atlas_2018	TCGA-41-2571-01	-1.068
gbm_tcga_pan_can_atlas_2018	TCGA-41-2572-01	-1.014
gbm_tcga_pan_can_atlas_2018	TCGA-41-3915-01	-0.6121
gbm_tcga_pan_can_atlas_2018	TCGA-41-4097-01	-1.3677
gbm_tcga_pan_can_atlas_2018	TCGA-41-5651-01	-0.3923
gbm_tcga_pan_can_atlas_2018	TCGA-76-4925-01	-0.2589
gbm_tcga_pan_can_atlas_2018	TCGA-76-4926-01	-1.0327
gbm_tcga_pan_can_atlas_2018	TCGA-76-4927-01	-0.9398
gbm_tcga_pan_can_atlas_2018	TCGA-76-4928-01	-1.1437
gbm_tcga_pan_can_atlas_2018	TCGA-76-4929-01	-1.3854
gbm_tcga_pan_can_atlas_2018	TCGA-76-4931-01	-0.966
gbm_tcga_pan_can_atlas_2018	TCGA-76-4932-01	-0.9186
gbm_tcga_pan_can_atlas_2018	TCGA-06-0138-01	-0.6354
gbm_tcga_pan_can_atlas_2018	TCGA-06-0238-01	-0.1684
gbm_tcga_pan_can_atlas_2018	TCGA-06-0125-01	-1.0466
gbm_tcga_pan_can_atlas_2018	TCGA-06-0125-02	-1.4729
gbm_tcga_pan_can_atlas_2018	TCGA-14-0871-01	-0.8364
gbm_tcga_pan_can_atlas_2018	TCGA-06-0157-01	-0.8837
gbm_tcga_pan_can_atlas_2018	TCGA-12-0821-01	-0.564
gbm_tcga_pan_can_atlas_2018	TCGA-06-0646-01	-1.0492
gbm_tcga_pan_can_atlas_2018	TCGA-14-0789-01	-1.551
gbm_tcga_pan_can_atlas_2018	TCGA-14-0817-01	0.0889
gbm_tcga_pan_can_atlas_2018	TCGA-06-0211-01	-1.0157
gbm_tcga_pan_can_atlas_2018	TCGA-06-0168-01	-1.0867
gbm_tcga_pan_can_atlas_2018	TCGA-06-0130-01	-0.6644
gbm_tcga_pan_can_atlas_2018	TCGA-06-0750-01	-1.3674
gbm_tcga_pan_can_atlas_2018	TCGA-06-0178-01	1.3893
gbm_tcga_pan_can_atlas_2018	TCGA-06-0141-01	-1.215
gbm_tcga_pan_can_atlas_2018	TCGA-12-0616-01	-0.258
gbm_tcga_pan_can_atlas_2018	TCGA-06-0219-01	0.5281
gbm_tcga_pan_can_atlas_2018	TCGA-14-0787-01	-0.9658
gbm_tcga_pan_can_atlas_2018	TCGA-02-0047-01	-0.9824
gbm_tcga_pan_can_atlas_2018	TCGA-12-0618-01	-0.7822
gbm_tcga_pan_can_atlas_2018	TCGA-06-0171-02	-1.6064
gbm_tcga_pan_can_atlas_2018	TCGA-06-0132-01	-1.4954
gbm_tcga_pan_can_atlas_2018	TCGA-15-0742-01	-0.9115
gbm_tcga_pan_can_atlas_2018	TCGA-08-0386-01	-1.089
gbm_tcga_pan_can_atlas_2018	TCGA-06-0187-01	-1.086
gbm_tcga_pan_can_atlas_2018	TCGA-16-0846-01	-1.1935
gbm_tcga_pan_can_atlas_2018	TCGA-06-0221-02	-0.5937
gbm_tcga_pan_can_atlas_2018	TCGA-06-0649-01	-1.22
gbm_tcga_pan_can_atlas_2018	TCGA-12-0619-01	-0.9464
gbm_tcga_pan_can_atlas_2018	TCGA-06-0744-01	-0.884
gbm_tcga_pan_can_atlas_2018	TCGA-06-0882-01	-1.5032
gbm_tcga_pan_can_atlas_2018	TCGA-06-0174-01	-0.4302
gbm_tcga_pan_can_atlas_2018	TCGA-06-0211-02	-1.1594
gbm_tcga_pan_can_atlas_2018	TCGA-06-0210-01	-1.2169
gbm_tcga_pan_can_atlas_2018	TCGA-06-0129-01	0.0672
gbm_tcga_pan_can_atlas_2018	TCGA-06-0190-01	-1.0597
gbm_tcga_pan_can_atlas_2018	TCGA-06-0190-02	-0.5627
gbm_tcga_pan_can_atlas_2018	TCGA-06-0158-01	-1.2748
gbm_tcga_pan_can_atlas_2018	TCGA-06-0745-01	-0.3319
gbm_tcga_pan_can_atlas_2018	TCGA-06-0645-01	-1.2201
gbm_tcga_pan_can_atlas_2018	TCGA-06-0686-01	-0.0559
gbm_tcga_pan_can_atlas_2018	TCGA-06-0743-01	-1.2302
gbm_tcga_pan_can_atlas_2018	TCGA-14-0790-01	-0.5712
gbm_tcga_pan_can_atlas_2018	TCGA-06-0878-01	-1.002
gbm_tcga_pan_can_atlas_2018	TCGA-02-0055-01	-0.974
gbm_tcga_pan_can_atlas_2018	TCGA-28-2510-01	-1.2164
gbm_tcga_pan_can_atlas_2018	TCGA-06-0210-02	-1.1046
gbm_tcga_pan_can_atlas_2018	TCGA-06-0184-01	-1.3127
gbm_tcga_pan_can_atlas_2018	TCGA-06-0747-01	-1.054
gbm_tcga_pan_can_atlas_2018	TCGA-06-0644-01	-0.5482
gbm_tcga_pan_can_atlas_2018	TCGA-06-0749-01	-1.528
gbm_tcga_pan_can_atlas_2018	TCGA-14-0781-01	-1.3704
